filename,label,split
photo_2024-12-07_18-34-13.jpg,right,val
photo_2024-12-07_18-34-15.jpg,right,val
photo_2024-12-07_18-34-16.jpg,right,train
photo_2024-12-07_18-34-17.jpg,left,train
photo_2024-12-07_18-34-18.jpg,right,train
photo_2024-12-07_18-34-21.jpg,right,train
photo_2024-12-07_18-34-24.jpg,right,train
photo_2024-12-07_18-34-25.jpg,left,train
photo_2024-12-07_18-34-26.jpg,left,train
photo_2024-12-07_18-34-27.jpg,center,train
photo_2024-12-07_18-34-28.jpg,center,train
photo_2024-12-07_18-34-48.jpg,left,train
photo_2024-12-07_18-34-49.jpg,left,train
photo_2024-12-07_18-34-50.jpg,left,val
photo_2024-12-07_18-34-51.jpg,center,test
photo_2024-12-07_18-34-54.jpg,right,train
photo_2024-12-07_18-34-56.jpg,right,train
photo_2024-12-07_18-34-57.jpg,left,train
photo_2024-12-07_18-34-58.jpg,center,val
photo_2024-12-07_18-35-01.jpg,left,train
photo_2024-12-07_18-35-02.jpg,right,train
photo_2024-12-07_18-35-03.jpg,center,train
photo_2024-12-07_18-35-04.jpg,center,train
photo_2024-12-07_18-35-08.jpg,center,train
photo_2024-12-07_18-35-09.jpg,center,train
photo_2024-12-07_18-35-10.jpg,right,train
photo_2024-12-07_18-35-11.jpg,left,val
photo_2024-12-07_18-35-12.jpg,center,train
photo_2024-12-07_18-35-13.jpg,center,train
photo_2024-12-07_18-35-14.jpg,left,train
photo_2024-12-07_18-35-15.jpg,center,train
photo_2024-12-07_18-35-17.jpg,left,train
photo_2024-12-07_18-35-18.jpg,left,test
photo_2024-12-07_18-36-54.jpg,left,train
photo_2024-12-07_18-37-56.jpg,center,test
photo_2024-12-13_17-29-14.jpg,center,val
photo_2024-12-13_17-29-15.jpg,right,train
photo_2024-12-13_17-29-16.jpg,center,val
photo_2024-12-13_17-29-17.jpg,right,train
photo_2024-12-13_17-29-19.jpg,left,train
photo_2024-12-13_17-29-28.jpg,center,test
photo_2024-12-13_17-29-29.jpg,right,train
photo_2024-12-13_17-29-30.jpg,right,train
photo_2024-12-13_17-29-31.jpg,right,train
photo_2024-12-13_17-29-32.jpg,left,train
photo_2024-12-13_17-31-06.jpg,left,val
photo_2024-12-13_17-31-07.jpg,left,train
photo_2024-12-13_17-31-08.jpg,left,test
photo_2024-12-13_17-31-09.jpg,left,train
photo_2024-12-13_17-31-11.jpg,right,train
photo_2024-12-13_17-31-12.jpg,center,train
photo_2024-12-13_17-31-13.jpg,center,val
photo_2024-12-13_17-31-14.jpg,center,val
photo_2024-12-13_17-31-15.jpg,center,test
photo_2024-12-13_17-31-16.jpg,left,train
photo_2024-12-13_17-31-17.jpg,right,val
photo_2024-12-13_17-31-20.jpg,right,train
photo_2024-12-13_17-31-21.jpg,right,val
photo_2024-12-13_17-31-22.jpg,left,train
photo_2024-12-13_17-31-24.jpg,right,test
photo_2024-12-13_17-31-25.jpg,left,train
photo_2024-12-13_17-31-26.jpg,center,train
photo_2024-12-13_17-31-30.jpg,right,train
photo_2024-12-13_17-31-31.jpg,center,train
photo_2024-12-13_17-31-32.jpg,center,train
photo_2024-12-13_17-31-33.jpg,right,train
photo_2024-12-13_17-31-34.jpg,center,train
photo_2024-12-13_17-31-35.jpg,right,val
photo_2024-12-13_17-31-36.jpg,right,train
photo_2024-12-13_17-31-50.jpg,left,test
photo_2024-12-13_17-31-51.jpg,right,train
photo_2024-12-13_17-31-52.jpg,right,train
photo_2024-12-13_17-31-53.jpg,left,train
photo_2024-12-13_17-31-54.jpg,center,train
photo_2024-12-13_17-31-55.jpg,center,train
photo_2024-12-13_17-31-56.jpg,center,train
photo_2024-12-13_17-31-57.jpg,left,train
photo_2024-12-13_17-31-58.jpg,left,train
photo_2024-12-13_17-31-59.jpg,center,train
photo_2024-12-13_17-32-06.jpg,center,train
photo_2024-12-13_17-32-12.jpg,center,train
photo_2024-12-13_17-32-13.jpg,center,train
photo_2024-12-13_17-32-14.jpg,left,train
photo_2024-12-13_17-32-15.jpg,center,test
photo_2024-12-13_17-32-16.jpg,center,train
